ranktier,result
IRON I,0.5828274340174473
IRON II,0.5415171675445262
IRON III,0.5826357304804769
IRON IV,0.5565701684176785
BRONZE I,0.6216997345529054
BRONZE II,0.585000281806535
BRONZE III,0.6108082376214641
BRONZE IV,0.6131883872081184
SILVER I,0.6168278239607977
SILVER II,0.6042044588724406
SILVER III,0.6056282516768141
SILVER IV,0.6170218875126734
GOLD I,0.6024397188523506
GOLD II,0.6055275618405169
GOLD III,0.6079944975055929
GOLD IV,0.6041323488335462
PLATINUM I,0.5827281134422234
PLATINUM II,0.594270912475005
PLATINUM III,0.5947210921951163
PLATINUM IV,0.6026003819450243
DIAMOND I,0.5704858982899426
DIAMOND II,0.6329859461000658
DIAMOND III,0.575647136655824
DIAMOND IV,0.617758541111448
MASTERUPPER I,0.588658406068179
